site,lon,lat
Brd,-0.17,54.07
Cro,1.31,52.94
Eye,-2.07,55.88
Heb,-7.25,57.79
Iom,-4.5,54.12
Ios,-6.33,49.92
Loo,-4.44,50.35
Lyn,-4.62,52.93
Ork,-2.83,59
Pad,-4.98,50.56
Pem,-5.29,51.81
She,-1.4,60.17
Sbs,-0.26,50.82
Sul,-6.16,59.09
Jer,-2.12,49.16
Idr,-1.25,46.13
Hel,7.9,54.18
Ale,25.87,40.84
Sky,24.53,38.82
The,22.88,40.36
Tor,23.54,40.17
Cor,-8.26,51.84
Hoo,-6.92,52.12
Kil,-9.77,53.28
Mul,-10.15,54.19
Ven,-10.35,52.12
Laz,12.62,41.44
Tar,11.68,42.23
Sar,9.2,41.26
Oos,3.7,51.61
Ber,4.77,60.65
Flo,8.76,58.42
Sin,11.12,59.08
Tro,9.15,63.76
Vig,-8.99,42.49
Gul,11.33,58.25
Kav,11.37,58.33
Lys,11.37,58.26
