year,type,country,value
2007,landings,EU,3403
2008,landings,EU,3654
2009,landings,EU,3612
2010,landings,EU,3874
2011,landings,EU,4829
2012,landings,EU,4084
2013,landings,EU,4008
2014,landings,EU,4641
2015,landings,EU,4196
2016,landings,EU,4145
2017,landings,EU,4245
2018,landings,EU,4170
2019,landings,EU,4615
2007,earnings,EU,57692
2008,earnings,EU,55940
2009,earnings,EU,42831
2010,earnings,EU,48119
2011,earnings,EU,62720
2012,earnings,EU,52791
2013,earnings,EU,51954
2014,earnings,EU,59785
2015,earnings,EU,61830
2016,earnings,EU,64999
2017,earnings,EU,68041
2018,earnings,EU,72179
2019,earnings,EU,79316
2007,landings,UK,2761
2008,landings,UK,2758
2009,landings,UK,2763
2010,landings,UK,2717
2011,landings,UK,3177
2012,landings,UK,3134
2013,landings,UK,2958
2014,landings,UK,3383
2015,landings,UK,3094
2016,landings,UK,3260
2017,landings,UK,3289
2018,landings,UK,2990
2019,landings,UK,3268
2007,earnings,UK,45614
2008,earnings,UK,39821
2009,earnings,UK,29782
2010,earnings,UK,30932
2011,earnings,UK,37391
2012,earnings,UK,38158
2013,earnings,UK,35103
2014,earnings,UK,40062
2015,earnings,UK,44268
2016,earnings,UK,48212
2017,earnings,UK,49679
2018,earnings,UK,49174
2019,earnings,UK,52242
